,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
132,Queens of the Stone Age,"You Think I Ain't Worth A Dollar, But I Feel Like A Millionaire - Album Version (With Interlude)",48OJGqiTSwiUmDwLpAlGZ6,52,0.0199,0.507,192493,0.86,0.0387,0,0.251,-6.785,0,0.115,79.793,4,0.557
133,New Medicine,Fire Up The Night,0R7KP4GlUebdefGw2Sw9eh,65,0.0601,0.599,179240,0.945,0.0,5,0.309,-4.604,1,0.0695,84.996,4,0.676
134,Metallica,Suicide & Redemption,2VTJaQNkvxU4S2zjkVJirF,47,5.42e-05,0.291,597720,0.927,0.879,4,0.0983,-4.295,0,0.0604,80.977,4,0.444
135,Linkin Park,Breaking The Habit,3dxiWIBVJRlqh9xk144rf4,68,0.108,0.579,196907,0.849,0.0,4,0.0909,-5.218,0,0.0303,100.021,4,0.581
136,Volbeat,The Everlasting - Live from Telia Parken,42DF4fBoaHjRa9VAztSr1f,51,0.00186,0.262,437736,0.924,0.0311,9,0.986,-7.637,0,0.133,107.059,4,0.33
137,Skid Row,Into Another,26a9xiNAkotBMeL7F0OAXJ,0,1.06e-05,0.43,242427,0.853,0.026,2,0.199,-6.485,0,0.0385,123.082,4,0.617
138,Avenged Sevenfold,Requiem,2QecHpp1nzPMwo95fwxZ9h,54,0.000104,0.532,261573,0.953,0.00765,8,0.119,-5.667,1,0.0394,142.016,4,0.485
139,Rise Against,Swing Life Away,3yupzluZdw77zjfskZnQgc,60,0.545,0.487,200067,0.427,0.0,6,0.0909,-6.949,1,0.0405,185.117,3,0.803
140,Marilyn Manson,Cry Little Sister,1zmEuFmMP46w1RW3sFXywK,59,0.0292,0.502,274749,0.634,0.0492,2,0.111,-5.173,0,0.0337,145.922,4,0.0388
141,Korpiklaani,Vodka,2RDPmDFV864JAFnb7OcFHM,39,6.17e-05,0.353,179653,0.96,0.000371,7,0.926,-5.588,1,0.227,180.061,4,0.267
142,Dark Tranquillity,Misery's Crown,6NeUmwrvmkIuTO9dh3qOwT,51,0.000128,0.464,254107,0.964,0.205,6,0.324,-4.338,1,0.0603,135.078,4,0.585
143,Amaranthe,Unified,0H4TUprQxClyRpDQR2yB2D,46,0.00035,0.569,238594,0.869,0.0,5,0.146,-6.282,1,0.0402,130.069,4,0.554
144,Metallica,Dyers Eve,2517AuTvR5dMxc7IKG1ThD,50,2.35e-05,0.463,313360,0.936,0.0104,6,0.0843,-8.443,0,0.0527,96.236,4,0.705
145,The Offspring,Pretty Fly (For A White Guy),3SFXsFpeGmBTtQvKiwYMDA,74,0.112,0.722,188667,0.901,0.0,11,0.0674,-3.66,0,0.105,143.401,4,0.963
146,Three Days Grace,Infra-Red,6x5deYIe42rgRbStECDjYQ,68,0.00115,0.568,230933,0.907,0.0,5,0.0982,-4.641,0,0.0488,112.037,4,0.337
147,Avenged Sevenfold,Shepherd of Fire,1fQaoh3imrMunWVZh5kf90,68,0.000332,0.576,323800,0.906,0.0614,2,0.0908,-7.677,1,0.0571,127.935,4,0.211
