,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2410,Rich The Kid,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,83,0.202,0.876,175230,0.519,0.0,11,0.108,-6.531,1,0.143,94.981,4,0.158
2411,Jonas Blue,Fast Car,3Uoe0ZdEy9lLrXj1HhXx9H,76,0.469,0.672,212424,0.578,0.0,9,0.312,-6.621,1,0.0569,113.945,4,0.548
2412,Martin Garrix,Ocean (feat. Khalid),3nc420PXjTdBV5TN0gCFkS,84,0.584,0.506,216420,0.693,9.58e-05,0,0.0891,-7.265,0,0.0412,139.912,4,0.221
2413,XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,91,0.258,0.74,166606,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,0.473
2414,XXXTENTACION,NUMB,01TnVDiet1DFTsyWKUKovl,79,0.1,0.414,186268,0.416,0.179,11,0.131,-8.024,0,0.0251,159.91,4,0.196
2415,LayLay,PGO,1vTHB6RO5NuCsHPuuXjSXa,38,0.309,0.775,192464,0.653,2.37e-06,11,0.111,-6.498,0,0.275,138.101,4,0.582
2416,Anne-Marie,2002 - KREAM Remix,7JCmaxxkWIcq8BRiSKHH9V,55,0.00104,0.756,163126,0.887,0.0126,6,0.118,-4.131,0,0.13,122.958,4,0.246
2417,Malte Ebert,All The Time,49vXTanQeFpXY39nBK4EOn,40,0.0293,0.694,180939,0.731,0.0,10,0.191,-6.156,0,0.0414,105.038,4,0.747
2418,ATYPISK,Nok Er Nok,2IP1GtbdBTi3yIpugz2osg,41,0.0493,0.776,144000,0.456,0.0,6,0.203,-8.896,0,0.211,120.006,4,0.574
2419,ZAYN,Common,39s9tdp3VpUpPtDxnda0d5,70,0.201,0.633,232520,0.476,0.0,2,0.0913,-5.856,0,0.05,134.974,4,0.218
2420,Tommy Rasmussen,Elefantens vuggevise,53mRh7q7ZHH06EjdHMx2P2,34,0.647,0.673,179560,0.48,0.0,10,0.0942,-5.349,1,0.0258,101.953,4,0.494
2421,J Balvin,Reggaeton,2D3z17LBMJ2HEHeBFFjTLi,89,0.0165,0.747,158800,0.74,9.94e-05,4,0.101,-4.325,0,0.191,176.059,4,0.552
2422,Jay Hardway,EDM Bubble,5wlscxWc7OyrsE22xToo1N,72,0.0313,0.63,142503,0.839,0.537,6,0.122,-3.971,0,0.0422,127.98,4,0.624
2423,Reboost,Little More,3yDWtfs1uQRilBQ5mNVWtO,47,0.0978,0.635,165763,0.719,0.0,5,0.297,-4.055,0,0.0425,123.977,4,0.453
2424,A$AP Rocky,Cocky (feat. London On Da Track),1nO2NjuFkGaAWcMdJ1pNrp,65,0.223,0.797,232413,0.633,0.0,5,0.109,-4.815,1,0.238,156.015,4,0.577
2425,Niklas,Promise You,1QSzXcCtTmRJ6VwK6LgO3M,53,0.00354,0.719,185087,0.787,8.52e-06,6,0.106,-6.693,0,0.0445,94.987,4,0.642
2426,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),4e4fqjx0Izh4svvTef1z7e,73,0.0476,0.642,164205,0.772,0.0,10,0.0646,-6.61,1,0.0848,153.995,4,0.589
2427,Marie Key,Det Vi Sagde,5yrw7gtku3eDW7ohtZtpMy,37,0.199,0.747,229072,0.692,0.000152,3,0.0846,-5.479,0,0.0446,102.046,4,0.307
2428,Dan Owen,Hand That You Hold,6X9vWVAjTvTSECvjKX1hYY,62,0.705,0.385,197078,0.411,7.03e-06,7,0.0913,-6.438,1,0.0288,128.884,4,0.2
2429,Kina Grannis,Can't Help Falling In Love,6lfxq3CG4xtTiEg7opyCyx,72,0.905,0.266,201933,0.0596,7.07e-05,0,0.132,-18.515,1,0.0363,181.74,3,0.143
2430,Ariana Grande,the light is coming (feat. Nicki Minaj),0sdbFOyfgAhAhWq8DpzkaW,74,0.0122,0.877,228373,0.547,1.51e-05,7,0.028,-5.705,1,0.18,99.034,4,0.687
2431,Travis Scott,YOSEMITE,7lAK3oHbfEnvUQWosrMMpR,85,0.283,0.785,150043,0.554,3.4e-06,0,0.116,-6.571,1,0.0409,128.047,4,0.144
2432,Lil Peep,IDGAF,6zZhlOWizcEG1T7zsTdI6N,68,0.0298,0.615,214293,0.66,0.0,9,0.106,-5.55,0,0.032,115.037,4,0.185
2433,Panic! At The Disco,Roaring 20s,0wdV94AXGRphrbkDWLNzVC,74,0.0467,0.271,186600,0.948,0.0,1,0.163,-2.207,1,0.263,83.19,4,0.515
2434,Jorja Smith,Goodbyes,4CYBfRX3oEPni9Elqm8Bnt,68,0.866,0.512,230930,0.184,0.0,9,0.284,-8.812,0,0.0587,85.82,4,0.37
2435,Aksglæde,PromilleRomantikken,3TJ1RoFsl206i5wQZm77HZ,35,0.0349,0.686,190929,0.856,0.0,8,0.0591,-5.47,0,0.0578,105.017,4,0.933
2436,Blueface,Thotiana,3oh6SCCeLuXhFpEyepla6G,91,0.18,0.906,129264,0.382,0.0,10,0.113,-12.89,0,0.269,104.025,4,0.391
2437,Hans Johansen,Dedication - Piano Version,5w4x8Qiu8Wcl2Elxtnsm5z,67,0.995,0.539,257694,0.0218,0.964,1,0.107,-23.669,1,0.0845,134.762,3,0.438
2438,Sivas,Vejen,7M10j8wpy5PReVPULFSCtx,36,0.451,0.715,247548,0.599,0.0,5,0.0812,-6.088,1,0.0529,83.091,4,0.444
2439,Brandi Carlile,Party Of One (feat. Sam Smith),25fcj6d2W1l8DQL11Czdzb,69,0.779,0.354,259559,0.206,0.00021,0,0.0959,-11.799,1,0.0365,139.056,4,0.202
2440,Shawn Mendes,Queen,6D8FZWtCQRtQUVT3mpjrZs,70,0.197,0.878,204693,0.688,0.0,1,0.0872,-7.254,1,0.11,131.02,4,0.917
2441,Jeremy Zucker,better off - filous remix,3PMsgFdVtCeTgjzE8X9TTs,69,0.164,0.782,176347,0.564,0.00689,8,0.182,-7.752,0,0.226,101.058,4,0.448
2442,Nicklas Sahl,Devil On Your Shoulder,08RzqDOamBoqefEupSXRIw,45,0.348,0.626,225907,0.464,0.0,11,0.0825,-9.101,1,0.0356,120.875,4,0.129
2443,Quavo,FLIP THE SWITCH (feat. Drake),1rlIrbWboTRGeKfHhgbJRZ,78,0.129,0.853,156195,0.637,0.0,3,0.267,-5.924,0,0.331,86.048,4,0.496
2444,JENNIE,SOLO,2wVDWtLKXunswWecARNILj,79,0.0861,0.751,169567,0.642,0.0,3,0.0953,-5.165,0,0.087,95.045,4,0.388
2445,Snuffi,Fancy,452BVugVqxY5z3d8kEiKn6,32,0.344,0.452,210750,0.582,0.0,3,0.215,-6.696,1,0.0679,82.075,4,0.832
